Wavenumber,Filter response
10500,0.000255
10501,0.000253
10502,0.00025
10503,0.000247
10504,0.000245
10505,0.000244
10506,0.000244
10507,0.000244
10508,0.000244
10509,0.000244
10510,0.000244
10511,0.000244
10512,0.000244
10513,0.000244
10514,0.000244
10515,0.000244
10516,0.000244
10517,0.000244
10518,0.000244
10519,0.000244
10520,0.000244
10521,0.000244
10522,0.000244
10523,0.000244
10524,0.000244
10525,0.000244
10526,0.000244
10527,0.000244
10528,0.000244
10529,0.000244
10530,0.000244
10531,0.000244
10532,0.000244
10533,0.000244
10534,0.000244
10535,0.000244
10536,0.000245
10537,0.000245
10538,0.000246
10539,0.000247
10540,0.000248
10541,0.000249
10542,0.00025
10543,0.000251
10544,0.000251
10545,0.000251
10546,0.00025
10547,0.00025
10548,0.00025
10549,0.00025
10550,0.00025
10551,0.00025
10552,0.000249
10553,0.000249
10554,0.000249
10555,0.000249
10556,0.000249
10557,0.000249
10558,0.000248
10559,0.000248
10560,0.000248
10561,0.000248
10562,0.000248
10563,0.000248
10564,0.000247
10565,0.000247
10566,0.000247
10567,0.000247
10568,0.000247
10569,0.000247
10570,0.000246
10571,0.000246
10572,0.000246
10573,0.000246
10574,0.000246
10575,0.000246
10576,0.000246
10577,0.000246
10578,0.000246
10579,0.000246
10580,0.000246
10581,0.000246
10582,0.000246
10583,0.000245
10584,0.000244
10585,0.000243
10586,0.000242
10587,0.000241
10588,0.00024
10589,0.000239
10590,0.000238
10591,0.000237
10592,0.000236
10593,0.000235
10594,0.000234
10595,0.000236
10596,0.000237
10597,0.000238
10598,0.00024
10599,0.000241
10600,0.000242
10601,0.000243
10602,0.000245
10603,0.000246
10604,0.000245
10605,0.000244
10606,0.000243
10607,0.000242
10608,0.000241
10609,0.00024
10610,0.000239
10611,0.000238
10612,0.000237
10613,0.000236
10614,0.000235
10615,0.000235
10616,0.000236
10617,0.000236
10618,0.000237
10619,0.000237
10620,0.000238
10621,0.000238
10622,0.000239
10623,0.000239
10624,0.000239
10625,0.00024
10626,0.000242
10627,0.000244
10628,0.000245
10629,0.000247
10630,0.000249
10631,0.00025
10632,0.000252
10633,0.000253
10634,0.000255
10635,0.000257
10636,0.000258
10637,0.00026
10638,0.000261
10639,0.00026
10640,0.00026
10641,0.00026
10642,0.000259
10643,0.000259
10644,0.000259
10645,0.000258
10646,0.000258
10647,0.000257
10648,0.000257
10649,0.000257
10650,0.000257
10651,0.000256
10652,0.000256
10653,0.000256
10654,0.000256
10655,0.000256
10656,0.000255
10657,0.000255
10658,0.000255
10659,0.000255
10660,0.000255
10661,0.000256
10662,0.000257
10663,0.000259
10664,0.00026
10665,0.000262
10666,0.000263
10667,0.000265
10668,0.000266
10669,0.000268
10670,0.000269
10671,0.000271
10672,0.000272
10673,0.000271
10674,0.00027
10675,0.00027
10676,0.000269
10677,0.000269
10678,0.000268
10679,0.000267
10680,0.000267
10681,0.000266
10682,0.000266
10683,0.000265
10684,0.000265
10685,0.000264
10686,0.000264
10687,0.000263
10688,0.000263
10689,0.000263
10690,0.000262
10691,0.000262
10692,0.000261
10693,0.000261
10694,0.00026
10695,0.000261
10696,0.000262
10697,0.000264
10698,0.000265
10699,0.000266
10700,0.000267
10701,0.000269
10702,0.00027
10703,0.000271
10704,0.000272
10705,0.000274
10706,0.000275
10707,0.000276
10708,0.000278
10709,0.000279
10710,0.00028
10711,0.000282
10712,0.000283
10713,0.000285
10714,0.000286
10715,0.000287
10716,0.000289
10717,0.00029
10718,0.000292
10719,0.000292
10720,0.000292
10721,0.000293
10722,0.000293
10723,0.000293
10724,0.000294
10725,0.000294
10726,0.000294
10727,0.000295
10728,0.000295
10729,0.000289
10730,0.000289
10731,0.000291
10732,0.000293
10733,0.000294
10734,0.000296
10735,0.000297
10736,0.000299
10737,0.000301
10738,0.000302
10739,0.000304
10740,0.000306
10741,0.000307
10742,0.000309
10743,0.00031
10744,0.000312
10745,0.000314
10746,0.000315
10747,0.000317
10748,0.000319
10749,0.00032
10750,0.000322
10751,0.000324
10752,0.000325
10753,0.000327
10754,0.000329
10755,0.000331
10756,0.000332
10757,0.000334
10758,0.000336
10759,0.000337
10760,0.000339
10761,0.000341
10762,0.000342
10763,0.000344
10764,0.000345
10765,0.000345
10766,0.000345
10767,0.000346
10768,0.000346
10769,0.000346
10770,0.000346
10771,0.000347
10772,0.000348
10773,0.000349
10774,0.00035
10775,0.000351
10776,0.000352
10777,0.000353
10778,0.000354
10779,0.000355
10780,0.000356
10781,0.000357
10782,0.000358
10783,0.000359
10784,0.00036
10785,0.000361
10786,0.000362
10787,0.000364
10788,0.000365
10789,0.000367
10790,0.000368
10791,0.00037
10792,0.000371
10793,0.000373
10794,0.000375
10795,0.000376
10796,0.000378
10797,0.000379
10798,0.000381
10799,0.000382
10800,0.000386
10801,0.00039
10802,0.000394
10803,0.000398
10804,0.000402
10805,0.000406
10806,0.00041
10807,0.000415
10808,0.00042
10809,0.000426
10810,0.000431
10811,0.000436
10812,0.000441
10813,0.000446
10814,0.000451
10815,0.000456
10816,0.000462
10817,0.000465
10818,0.000459
10819,0.000453
10820,0.000447
10821,0.00044
10822,0.000434
10823,0.000434
10824,0.000438
10825,0.000442
10826,0.000446
10827,0.00045
10828,0.000454
10829,0.000458
10830,0.000462
10831,0.000465
10832,0.000469
10833,0.000473
10834,0.000477
10835,0.000481
10836,0.000485
10837,0.000489
10838,0.000493
10839,0.000497
10840,0.000501
10841,0.000505
10842,0.000509
10843,0.000513
10844,0.000517
10845,0.000521
10846,0.000525
10847,0.000529
10848,0.000533
10849,0.000537
10850,0.000541
10851,0.000545
10852,0.000549
10853,0.000553
10854,0.000557
10855,0.000561
10856,0.000565
10857,0.000569
10858,0.000573
10859,0.000577
10860,0.000577
10861,0.000577
10862,0.000577
10863,0.000577
10864,0.000577
10865,0.000577
10866,0.000577
10867,0.000577
10868,0.000577
10869,0.000577
10870,0.000577
10871,0.000577
10872,0.000577
10873,0.00061
10874,0.000623
10875,0.000625
10876,0.000627
10877,0.000629
10878,0.000631
10879,0.000633
10880,0.000635
10881,0.000637
10882,0.000639
10883,0.000642
10884,0.000645
10885,0.000647
10886,0.00065
10887,0.000652
10888,0.000655
10889,0.000658
10890,0.00066
10891,0.000663
10892,0.000666
10893,0.000677
10894,0.000693
10895,0.00071
10896,0.000727
10897,0.000734
10898,0.000734
10899,0.000734
10900,0.000733
10901,0.000733
10902,0.000733
10903,0.000733
10904,0.000733
10905,0.000746
10906,0.00076
10907,0.000774
10908,0.000788
10909,0.000796
10910,0.000802
10911,0.000808
10912,0.000814
10913,0.000819
10914,0.000825
10915,0.000831
10916,0.000836
10917,0.000842
10918,0.000848
10919,0.000853
10920,0.000859
10921,0.000865
10922,0.000871
10923,0.000877
10924,0.000886
10925,0.000895
10926,0.000903
10927,0.000912
10928,0.00092
10929,0.000929
10930,0.000938
10931,0.000946
